condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,shock_job_index,shock_release_ns,response_before_ns,response_after_ns,shock_amplitude_ns,is_deadline_miss_after_shock
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,57601,79379178074299,603141.0,206502337.0,205899196.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,59646,79389403074299,603030.0,1165383980.0,1164780950.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,60688,79394613074299,603119.0,239671793.0,239068674.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,61671,79399528074299,603089.0,11907489.0,11304400.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,63719,79409768074299,603058.0,48127565.0,47524507.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,67056,79426453074299,603191.0,292689723.0,292086532.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,68190,79432123074299,602992.0,357774401.0,357171409.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,70233,79442338074299,603146.0,125148620.0,124545474.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,76300,79472673074299,603202.0,446510209.0,445907007.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,81451,79498428074299,603047.0,37716984.0,37113937.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,87443,79528388074299,603042.0,20067928.0,19464886.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,89415,79538248074299,603307.0,2861974.0,2258667.0,False
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,99958,79590963074299,602991.0,137835728.0,137232737.0,True
interference,container,docker_cpu3-interf_io-run5,100001,5000000.0,3000000.0,605529.0,-4394471.0,131.0,1000000.0,80,80475120425249,605783.0,33178854.0,32573071.0,True
interference,container,docker_cpu3-interf_io-run5,100001,5000000.0,3000000.0,605529.0,-4394471.0,131.0,1000000.0,1102,80480230425249,605504.0,132821340.0,132215836.0,True
interference,container,docker_cpu3-interf_io-run5,100001,5000000.0,3000000.0,605529.0,-4394471.0,131.0,1000000.0,2106,80485250425249,605449.0,234550561.0,233945112.0,True
interference,container,docker_cpu3-interf_io-run5,100001,5000000.0,3000000.0,605529.0,-4394471.0,131.0,1000000.0,7203,80510735425249,605380.0,68219983.0,67614603.0,True
interference,container,docker_cpu3-interf_io-run5,100001,5000000.0,3000000.0,605529.0,-4394471.0,131.0,1000000.0,8207,80515755425249,605479.0,70570155.0,69964676.0,True
interference,container,docker_cpu3-interf_io-run5,100001,5000000.0,3000000.0,605529.0,-4394471.0,131.0,1000000.0,9211,80520775425249,605390.0,37049318.0,36443928.0,True
